BI	TOTAL	ABU	JOC	MON	OUV	PER
CJ	6	0	 2	0	 4	0
CK	12	 2	0	 2	 1	 7
CL	74	 13	 4	 48	 3	 6
CM	115	0	 41	 28	 2	 44
CN	1125	0	 45	 241	 53	 786
CO	717	 32	 442	 86	 10	 147
CP	530	0	 237	 80	 198	 15
CQ	7	 1	0	 5	0	 1
CR	245	 1	 88	 108	 2	 46
CS	202	0	 85	 80	 18	 19
CT	104	 6	 8	 39	 32	 19
CU	73	 6	 5	 31	0	 31
CV	23	 1	 11	 6	 4	 1
CW	2	0	 1	0	 1	0
CX	5	 4	0	0	0	 1
CY	2	0	0	 1	0	 1
CZ	2	0	0	 1	0	 1
C]	5	0	0	0	0	 5
C`	1	0	0	0	0	 1
Ca	3548	 672	 747	 1113	 545	 471
Cc	1	 1	0	0	0	0
Cd	8	0	0	 1	0	 7
Ce	13924	 2268	 2392	 2217	 3511	 3536
Cf	122	 8	0	0	0	 114
Ch	4851	 996	 608	 1714	 930	 603
Ci	736	 329	 109	 180	 32	 86
Cl	1959	 497	 61	 539	 494	 368
Cn	3	0	0	0	0	 3
Co	33225	 1370	 26984	 2163	 1558	 1150
Cp	2	0	0	 1	0	 1
Cq	1	0	0	0	0	 1
Cr	939	 153	 283	 265	 127	 111
Cs	18	0	 5	 7	0	 6
Ct	1	0	0	0	0	 1
Cu	1187	 38	 174	 95	 706	 174
Cy	57	 20	 12	 18	0	 7
Cz	4	0	0	 1	0	 3
CŒ	3	0	0	0	0	 3
Cœ	5	0	0	0	 5	0
C»	14	0	 2	0	0	 12
CÈ	4	0	0	 3	0	 1
CÉ	3	0	0	 3	0	0
CÔ	4	0	0	 4	0	0
Cá	7	0	 7	0	0	0
Câ	3	 1	0	 2	0	0
Cæ	10	 10	0	0	0	0
Cè	2	0	0	 2	0	0
Cé	139	 56	 17	 23	 24	 19
Cô	90	 11	 10	 45	 10	 14
D 	238	 9	 92	 76	 11	 50
D"	14	0	0	0	0	 14
D'	1760	 357	 281	 338	 427	 357
D)	109	0	 81	 13	 3	 12
D,	181	 4	 25	 121	 2	 29
D-	29	0	 9	 5	0	 15
D.	170	 7	 29	 15	 33	 86
D/	21	0	 12	0	0	 9
D1	3	0	 2	0	 1	0
D2	71	0	 4	 6	 58	 3
D3	4	0	0	0	0	 4
D4	10	0	0	 1	0	 9
D5	1	0	 1	0	0	0
D:	5	0	 3	 2	0	0
D;	1	0	 1	0	0	0
D?	3	0	 3	0	0	0
DA	213	 30	 37	 93	 13	 40
DB	9	 1	0	 6	 1	 1
DC	84	 6	 18	 49	 1	 10
DD	19	0	 3	 13	 2	 1
DE	589	 93	 117	 186	 73	 120
DF	784	0	 13	 718	 34	 19
DG	231	 2	 127	 90	 3	 9
DH	7	0	 4	 2	0	 1
DI	196	 21	 7	 94	 18	 56
DJ	2	0	 1	 1	0	0
DK	14	0	 6	 2	0	 6
DL	17	 6	 1	 6	 2	 2
DM	21	0	 2	 11	 4	 4
DN	197	0	 3	 6	 3	 185
DO	90	 7	 20	 43	 1	 19
DP	26	0	 6	 9	 7	 4
DR	278	 5	 105	 117	 29	 22
DS	253	0	 13	 232	0	 8
DT	163	 2	 40	 63	 45	 13
DU	129	 23	 2	 61	 10	 33
DV	2	0	 1	 1	0	0
DW	2	0	0	0	0	 2
DX	13	 3	0	0	 2	 8
DY	7	 1	 3	0	0	 3
DZ	4	 1	0	0	0	 3
D[	1	0	0	0	 1	0
Da	6050	 768	 1618	 1162	 1415	 1087
Dd	1	0	0	 1	0	0
De	6890	 1322	 1262	 1739	 1268	 1299
Dh	19	 2	 1	 5	 9	 2
Di	2659	 898	 316	 409	 767	 269
Dj	65	 3	 9	 51	0	 2
Dl	1	0	0	0	 1	0
Dm	2	0	0	 1	0	 1
Dn	2	0	0	0	0	 2
Do	1419	 246	 397	 384	 193	 199
Dr	427	 36	 90	 114	 125	 62
Ds	4	0	 4	0	0	0
Du	1905	 727	 90	 398	 445	 245
Dv	2	0	 1	 1	0	0
Dw	5	0	0	 5	0	0
Dy	50	 38	 2	 4	 1	 5
Dz	4	0	 1	 3	0	0
D»	7	0	 2	0	0	 5
DÈ	3	 1	0	 1	0	 1
DÉ	29	 5	0	 14	 1	 9
DÔ	2	0	0	 2	0	0
Dà	1	0	0	0	0	 1
Dè	489	 113	 76	 81	 124	 95
Dé	1101	 138	 364	 227	 162	 210
Dí	5	0	 5	0	0	0
Dî	4	 3	0	0	 1	0
Dô	16	0	0	 9	 7	0
Dü	12	0	 7	 2	 2	 1
E 	3245	 289	 1858	 616	 111	 371
E"	4	0	0	 2	0	 2
E'	9	0	0	0	0	 9
E(	1	0	 1	0	0	0
E)	1604	 1	 1551	 21	 14	 17
E,	975	 9	 286	 621	 16	 43
E-	142	 1	 21	 96	 10	 14
E.	842	 29	 234	 315	 169	 95
E/	14	0	 8	0	0	 6
E1	6	0	 5	0	0	 1
E2	16	0	 2	0	0	 14
E3	1	0	 1	0	0	0
E4	1	0	 1	0	0	0
E5	2	0	0	0	 2	0
E7	3	0	 3	0	0	0
E:	6	0	 4	 2	0	0
E;	17	0	 17	0	0	0
E?	44	0	 44	0	0	0
EA	242	 8	 131	 24	 32	 47
EB	53	 3	 21	 3	0	 26
EC	460	 8	 218	 127	 64	 43
ED	299	 4	 103	 114	 42	 36
EE	2779	 6	 2619	 125	 12	 17
EF	83	 2	 33	 35	 5	 8
EG	93	 4	 10	 52	 15	 12
EH	11	0	 7	0	0	 4
EI	280	 13	 232	 14	0	 21
EJ	7	0	 6	0	0	 1
EK	10	0	 4	 5	0	 1
EL	239	 36	 70	 43	 9	 81
EM	251	 50	 46	 84	 13	 58
EN	520	 68	 57	 233	 14	 148
EO	137	 6	 110	 4	0	 17
EP	219	 32	 34	 64	 2	 87
EQ	28	 1	0	0	0	 27
ER	481	 127	 83	 114	 12	 145
ES	868	 118	 112	 312	 33	 293
ET	301	 56	 37	 81	 40	 87
EU	167	 25	 46	 54	 8	 34
EV	51	 7	 9	 5	 1	 29
EW	12	0	 7	 1	0	 4
EX	46	 5	 23	 9	 3	 6
EY	17	 3	 5	 2	0	 7
EZ	12	 2	 2	 4	0	 4
E`	1	0	0	0	0	 1
Ea	33	 9	 9	 8	0	 7
Eb	13	 4	 1	 4	0	 4
Ec	437	 126	 46	 136	 7	 122
Ed	378	 18	 15	 168	 94	 83
Ee	9	0	 1	0	0	 8
Ef	79	 11	 20	 18	 19	 11
Eg	283	 95	 4	 162	0	 22
Eh	303	 257	 7	 27	 4	 8
Ei	83	 4	 13	 29	 17	 20
Ek	6	0	 2	 3	0	 1
El	5145	 2278	 482	 791	 841	 753
Em	351	 57	 59	 94	 78	 63
En	8330	 893	 2135	 1440	 2226	 1636
Eo	8	0	 3	 2	0	 3
Ep	85	 19	 3	 35	 1	 27
Eq	18	 1	 1	 6	 1	 9
Er	309	 32	 74	 96	 85	 22
Es	2210	 430	 959	 384	 216	 221
Et	6042	 3002	 32	 2000	 358	 650
Eu	2350	 148	 1240	 553	 121	 288
Ev	208	 49	 23	 99	 5	 32
Ew	19	 2	 5	0	 8	 4
Ex	590	 80	 200	 75	 161	 74
Ey	15	0	0	 4	 7	 4
Ez	4	 1	0	 2	0	 1
E»	15	0	 15	0	0	0
EÉ	1	0	0	0	0	 1
EÏ	1	0	0	 1	0	0
Eç	1	0	 1	0	0	0
F 	1412	 3	 54	 562	 685	 108
F"	1	0	0	 1	0	0
F'	1	0	0	0	0	 1
F)	150	0	 28	 79	 25	 18
F,	651	0	 8	 399	 191	 53
F-	504	0	 6	 480	0	 18
F.	482	 11	 13	 127	 230	 101
F/	8	0	 5	0	 2	 1
F1	78	0	 5	 21	 6	 46
F2	10	0	 1	 4	 1	 4
F3	1	0	 1	0	0	0
F5	1	0	0	0	 1	0
F9	1	0	 1	0	0	0
F?	2	0	 2	0	0	0
FA	197	 5	 41	 126	 8	 17
FB	19	0	 1	 18	0	0
FC	68	0	 34	 6	 11	 17
FD	117	0	 7	 66	 44	0
FE	267	 8	 146	 82	 6	 25
FF	59	 2	 6	 14	 5	 32
FG	13	0	 1	 4	0	 8
FI	127	 6	 19	 62	 6	 34
FK	2	0	 2	0	0	0
FL	46	 2	 6	 34	0	 4
FM	84	0	 18	 52	0	 14
FN	878	0	 2	 847	 23	 6
FO	147	 7	 41	 45	 35	 19
FP	75	0	 18	 20	 7	 30
FR	185	 13	 9	 124	 1	 38
FS	178	0	 169	 3	0	 6
FT	35	0	 17	 8	 9	 1
FU	78	0	 10	 44	0	 24
FV	2	0	 1	 1	0	0
FW	1	0	0	0	 1	0
FY	2	0	 2	0	0	0
FZ	1	0	0	0	0	 1
F]	1	0	0	 1	0	0
Fa	1123	 285	 92	 430	 127	 189
Fe	1045	 312	 219	 255	 150	 109
Fi	702	 94	 205	 209	 85	 109
Fl	687	 222	 211	 117	 89	 48
Fn	1	0	 1	0	0	0
Fo	2115	 452	 844	 341	 301	 177
Fr	5368	 464	 492	 2333	 1404	 675
Fu	164	 20	 30	 49	 43	 22
Fy	2	0	0	0	0	 2
F»	1	0	0	0	0	 1
FÉ	1	0	0	 1	0	0
Fá	1	0	 1	0	0	0
Fè	10	 1	0	 6	 1	 2
Fé	231	 22	 54	 60	 74	 21
Fê	20	 3	0	 15	 1	 1
Fö	2	0	 2	0	0	0
Fû	2	 1	0	 1	0	0
Fü	14	 1	0	 4	 8	 1
G 	418	0	 211	 119	 30	 58
G"	1	0	0	 1	0	0
G'	3	0	 1	0	0	 2
G)	146	0	 107	 9	 10	 20
G,	164	0	 19	 129	 4	 12
G-	26	0	 14	 8	 1	 3
G.	342	 18	 19	 28	 194	 83
G2	12	0	 12	0	0	0
G7	17	0	 12	 5	0	0
G8	1	0	0	0	 1	0
G;	1	0	 1	0	0	0
G?	1	0	 1	0	0	0
GA	439	 20	 283	 97	 16	 23
GB	67	0	 19	 19	 17	 12
GC	53	0	 10	 24	 18	 1
GD	23	0	 5	 2	 2	 14
GE	530	 28	 45	 370	 19	 68
GF	16	0	 1	 6	0	 9
GG	13	0	0	 1	 8	 4
GH	19	 3	 4	0	0	 12
GI	135	 13	 17	 60	 18	 27
GK	1	0	0	0	0	 1
GL	14	 4	0	 5	0	 5
GM	22	0	 7	 8	 2	 5
GN	43	 9	 5	 19	0	 10
GO	47	 6	 5	 8	 16	 12
GP	104	0	 5	 14	 56	 29
GR	78	 9	 10	 19	 9	 31
GS	31	0	 5	 22	0	 4
GT	161	0	 2	 93	 57	 9
GU	79	 8	 33	 22	0	 16
GV	214	0	 20	 21	 169	 4
GW	2	0	 2	0	0	0
GX	1	0	 1	0	0	0
GY	2	0	0	 2	0	0
GZ	1	0	 1	0	0	0
Ga	1961	 581	 173	 631	 327	 249
Gb	1	0	0	0	0	 1
Gd	17	0	0	0	0	 17
Ge	1898	 355	 169	 468	 711	 195
Gf	1	0	0	 1	0	0
Gh	170	 2	 4	 28	 119	 17
Gi	885	 88	 94	 341	 201	 161
Gj	2	0	 2	0	0	0
Gl	195	 32	 54	 32	 40	 37
Gm	2	0	0	 2	0	0
Gn	6	0	0	 1	 5	0
Go	1153	 248	 113	 487	 108	 197
Gp	2	0	0	0	0	 2
Gr	2781	 309	 1158	 534	 285	 495
Gs	2	0	 2	0	0	0
Gt	1	0	0	 1	0	0
Gu	1485	 532	 141	 382	 303	 127
Gw	3	0	0	 3	0	0
Gy	12	 7	 1	 4	0	0
GÈ	3	0	0	 1	0	 2
GÉ	11	0	0	 10	 1	0
Gà	1	0	0	0	0	 1
Gâ	5	 4	0	 1	0	0
Gè	3	0	 2	 1	0	0
Gé	457	 76	 55	 209	 58	 59
Gê	17	 4	 7	 2	 3	 1
Gî	4	0	 4	0	0	0
Gö	7	 1	 1	 1	 1	 3
Gü	12	0	 7	 2	 3	0
H 	159	 6	 17	 23	 28	 85
H(	1	0	0	0	0	 1
H)	31	0	 9	 4	 3	 15
H,	52	 5	 3	 11	 6	 27
H-	155	 2	 126	 4	0	 23
H.	192	 30	 7	 9	 72	 74
H/	4	0	 2	0	0	 2
H0	1	0	 1	0	0	0
H1	2	0	 1	0	0	 1
H2	40	0	 3	0	0	 37
H3	8	0	 1	0	0	 7
H4	4	0	 1	0	0	 3
H8	1	0	0	0	 1	0
H=	1	0	0	0	0	 1
HA	187	 87	 30	 42	 1	 27
HB	5	0	0	 5	0	0
HC	51	 1	 43	 1	0	 6
HD	22	0	 12	0	0	 10
HE	110	 27	 8	 36	 13	 26
HF	32	0	 20	 1	0	 11
HG	5	0	0	 5	0	0
HH	1	 1	0	0	0	0
HI	107	 10	 6	 28	 7	 56
HK	8	0	 2	 2	0	 4
HL	50	 1	 5	 40	 4	0
HM	6	0	 5	0	0	 1
HN	11	0	 4	 3	0	 4
HO	108	 43	 2	 39	0	 24
HP	4	0	 1	0	 1	 2
HR	29	 1	 2	 1	 2	 23
HS	24	0	 13	 2	 1	 8
HT	4	0	0	0	 1	 3
HU	21	 6	0	 4	0	 11
HV	3	0	 2	0	0	 1
HX	2	0	0	 2	0	0
HY	13	 11	0	 1	0	 1
Ha	1510	 312	 235	 466	 268	 229
He	1407	 272	 188	 447	 307	 193
Hg	14	0	0	0	0	 14
Hh	1	0	0	 1	0	0
Hi	783	 123	 33	 175	 321	 131
Hj	1	0	0	0	0	 1
Hl	3	0	0	 3	0	0
Hm	1	0	 1	0	0	0
Ho	920	 206	 167	 291	 154	 102
Hr	2	0	0	0	0	 2
Hu	804	 203	 76	 265	 194	 66
Hy	88	 16	 16	 27	 5	 24
Hz	71	0	 7	 1	 37	 26
H}	4	0	0	0	0	 4
H»	2	0	0	0	0	 2
HÈ	3	 1	0	 1	0	 1
HÉ	31	 10	0	 12	 1	 8
HÔ	4	0	0	 4	0	0
Hâ	4	 3	0	0	 1	0
Hä	3	0	 3	0	0	0
Hè	3	0	0	 3	0	0
Hé	227	 75	 5	 68	 40	 39
Hî	2	0	0	0	0	 2
Hô	77	 30	 2	 28	 1	 16
Hö	10	0	 2	 4	 1	 3
Hü	5	0	 5	0	0	0
I 	1304	 265	 423	 215	 222	 179
I'	29	 1	 2	 3	0	 23
I)	822	 1	 564	 30	 179	 48
I*	1	0	0	0	0	 1
I,	828	 111	 139	 253	 39	 286
I-	38	0	 7	 6	 3	 22
I.	570	 111	 60	 268	 78	 53
I/	12	0	 9	0	 1	 2
I0	1	0	 1	0	0	0
I1	2	0	0	0	 2	0
I3	1	0	0	0	0	 1
I5	2	0	0	 1	 1	0
I6	2	0	0	0	 2	0
I7	3	0	0	 1	 1	 1
I9	45	0	0	 1	 1	 43
I:	3	0	 3	0	0	0
I;	4	0	 3	0	0	 1
I?	16	0	 14	 2	0	0
IA	144	 6	 15	 39	 29	 55
IB	122	 10	 31	 53	 2	 26
IC	269	 15	 52	 107	 46	 49
ID	119	 3	 17	 61	 13	 25
IE	449	 80	 157	 102	 25	 85
IF	108	 1	 11	 51	 5	 40
IG	70	 6	 6	 23	0	 35
IH	78	0	 14	 7	 7	 50
II	2012	 495	 439	 180	 365	 533
IJ	10	0	 5	 2	0	 3
IK	6	0	0	 4	0	 2
IL	134	 33	 9	 65	 3	 24
IM	189	 12	 91	 28	 10	 48
IN	458	 75	 35	 163	 15	 170
IO	219	 19	 5	 92	 19	 84
IP	132	 3	 39	 41	 1	 48
IQ	96	 19	0	 23	 8	 46
IR	249	 17	 51	 60	 6	 115
IS	386	 51	 65	 123	 12	 135
IT	372	 87	 109	 106	 12	 58
IU	11	 1	0	 4	0	 6
IV	369	 128	 67	 60	 37	 77
IW	6	0	 6	0	0	0
IX	235	 68	 9	 13	 29	 116
IY	1	0	 1	0	0	0
IZ	6	 4	0	 1	0	 1
Ia	34	 4	 7	 17	0	 6
Ib	54	 2	 19	 11	 12	 10
Ic	141	 26	 5	 45	 26	 39
Id	51	 5	 5	 9	 9	 23
Ie	251	 53	 4	 21	 49	 124
If	10	 1	 1	0	0	 8
Ig	31	 5	 5	 10	 6	 5
Ih	3	0	 1	0	 2	0
Ii	5	0	0	0	0	 5
Ij	1	0	0	0	0	 1
Ik	6	 2	 1	 1	0	 2
Il	15824	 6409	 1466	 2812	 3075	 2062
Im	432	 134	 148	 51	 37	 62
In	2106	 143	 692	 385	 271	 615
Io	43	0	 26	 13	0	 4
Ip	4	 2	 1	 1	0	0
Iq	3	 1	0	0	0	 2
Ir	674	 8	 313	 314	 13	 26
Is	568	 29	 77	 263	 116	 83
It	741	 27	 525	 109	 33	 47
Iv	45	0	 5	 31	 5	 4
Ix	5	0	 5	0	0	0
Iy	8	0	0	 2	0	 6
Iz	47	0	 6	 39	0	 2
I°	1	 1	0	0	0	0
I»	14	0	 14	0	0	0
IÈ	22	 7	0	 6	 5	 4
IÉ	9	 1	0	 7	0	 1
IÊ	1	0	0	0	0	 1
Iè	9	 1	 5	0	0	 3
Ié	11	0	 4	 1	 3	 3
Iñ	3	0	 3	0	0	0
Iô	1	0	0	0	0	 1
J 	25	 1	 3	 12	 3	 6
J'	1293	 778	 15	 260	 158	 82
J)	11	0	 8	 1	0	 2
J,	8	0	 1	 2	0	 5
J-	2	 2	0	0	0	0
J.	485	 25	 11	 49	 189	 211
J3	4	0	 4	0	0	0
J7	3	0	0	 3	0	0
J;	2	0	 2	0	0	0
JA	22	0	 15	 5	0	 2
JB	7	0	 7	0	0	0
JC	15	0	 2	 5	 2	 6
JE	26	0	 7	 10	 1	 8
JF	6	0	 1	0	 4	 1
JG	2	0	0	0	 2	0
JH	2	0	0	0	 2	0
JI	2	0	0	 2	0	0
JM	1	0	 1	0	0	0
JN	6	0	 1	0	0	 5
JO	2009	 8	 1985	 10	0	 6
JP	4	0	0	 4	0	0
JR	15	0	0	 15	0	0
JS	1	0	0	0	0	 1
JT	3	0	0	0	 1	 2
JU	19	 2	 1	 12	0	 4
JW	1	0	0	0	0	 1
J]	1	0	 1	0	0	0
Ja	2462	 283	 320	 937	 677	 245
Jb	1	0	0	0	0	 1
Je	5867	 2684	 171	 1898	 680	 434
Jh	3	 1	0	0	 1	 1
Ji	40	 5	 3	 22	0	 10
Jm	1	0	0	 1	0	0
Jo	2010	 759	 335	 572	 194	 150
Jp	1	0	0	0	 1	0
Jr	2	0	0	0	0	 2
Js	3	0	 3	0	0	0
Ju	1174	 224	 128	 242	 426	 154
Jy	4	0	 4	0	0	0
JÉ	1	0	0	0	 1	0
Jâ	1	0	0	0	0	 1
Jé	246	 74	 16	 73	 70	 13
Jü	7	0	0	 1	 1	 5
K 	61	 3	 26	 12	 5	 15
K)	13	0	 6	 2	0	 5
K,	17	0	 6	 2	0	 9
K-	9	0	 2	0	0	 7
K.	53	0	 14	 4	 15	 20
K/	3	0	0	0	0	 3
K1	2	0	 2	0	0	0
K2	4	0	 2	 2	0	0
K3	4	0	 4	0	0	0
K4	1	0	 1	0	0	0
K6	1	0	 1	0	0	0
K;	4	0	 4	0	0	0
K?	1	0	 1	0	0	0
KA	16	0	 7	 5	 1	 3
KB	38	0	0	0	 32	 6
KC	2	0	 2	0	0	0
KD	4	0	 2	 2	0	0
KE	41	 27	 6	 2	 1	 5
KF	4	0	0	 3	0	 1
KG	9	0	 1	 6	0	 2
KH	5	 1	0	0	0	 4
KI	15	 4	0	 4	0	 7
KK	4	0	 4	0	0	0
KL	11	0	 7	 1	0	 3
KN	6	0	 1	 4	0	 1
KO	19	0	 4	 7	0	 8
KP	4	0	 1	0	0	 3
KR	2	0	 1	0	0	 1
KS	22	0	 1	 16	0	 5
KT	1	0	0	 1	0	0
KU	2	0	0	0	0	 2
KV	1	0	0	0	 1	0
KW	6	0	 5	0	 1	0
KY	12	0	 10	0	0	 2
KZ	1	0	 1	0	0	0
Ka	832	 288	 137	 237	 44	 126
Kb	1	0	 1	0	0	0
Kc	1	0	0	0	0	 1
Ke	662	 373	 57	 113	 35	 84
Kg	5	0	 4	0	0	 1
Kh	103	0	 12	 85	0	 6
Ki	196	 13	 38	 98	 16	 31
Kl	147	 4	 21	 103	 6	 13
Kn	37	 9	 3	 18	 2	 5
Ko	869	 33	 480	 276	 15	 65
Kr	152	 11	 14	 49	 39	 39
Ks	2	0	0	0	0	 2
Ku	140	 1	 30	 77	 15	 17
Kw	11	 10	0	 1	0	0
Ky	39	 1	 27	 4	 2	 5
K»	1	0	 1	0	0	0
Ké	62	 60	0	 1	0	 1
Kö	5	 1	 3	0	 1	0
L 	1632	 24	 1487	 63	 14	 44
L'	8725	 1241	 1359	 1571	 2352	 2202
L)	41	0	 24	 9	 4	 4
L,	49	 7	 7	 23	 1	 11
L-	31	0	 4	 11	 1	 15
L.	389	 1	 9	 31	 241	 107
L/	12	0	0	0	0	 12
L1	6	0	0	0	 2	 4
L2	11	0	 4	0	0	 7
L3	1	0	 1	0	0	0
L7	1	0	 1	0	0	0
L9	1	0	0	0	 1	0
L?	1	0	 1	0	0	0
LA	377	 82	 24	 123	 18	 130
LB	39	 8	 10	 3	0	 18
LC	71	 2	 4	 54	0	 11
LD	90	 5	 81	 2	 1	 1
LE	465	 110	 62	 144	 13	 136
LF	26	0	 1	 2	0	 23
LG	14	0	 1	 4	 1	 8
LH	12	 2	 7	0	0	 3
LI	271	 79	 6	 71	 1	 114
LK	6	0	0	0	0	 6
LL	105	 35	 4	 34	 1	 31
LM	100	 5	 1	 43	 43	 8
LN	104	0	0	 103	0	 1
LO	359	 26	 1	 287	0	 45
LP	80	 1	 1	 52	 3	 23
LQ	2	 1	0	0	0	 1
LR	9	0	 1	 6	0	 2
LS	28	 1	 6	 13	 3	 5
LT	63	 1	 6	 36	0	 20
LU	58	 16	 1	 15	 2	 24
LV	37	 18	 5	 4	0	 10
LW	1	 1	0	0	0	0
LX	38	 35	 1	0	 2	0
LY	8	0	0	 3	0	 5
LZ	2	0	0	 1	0	 1
L`	1	0	0	0	0	 1
La	21426	 3530	 7171	 3151	 4145	 3429
Le	25881	 4985	 4721	 5481	 5637	 5057
Lh	9	 1	0	 5	 2	 1
Li	1421	 139	 392	 500	 193	 197
Lj	2	0	0	 2	0	0
Ll	27	 1	 13	 7	 3	 3
Lo	2701	 510	 378	 753	 683	 377
Lt	11	0	 9	 2	0	0
Lu	1088	 285	 181	 294	 159	 169
Lw	1	0	0	0	0	 1
Ly	394	 27	 20	 145	 140	 62
LÀ	2	0	0	 1	0	 1
LÆ	1	 1	0	0	0	0
LÈ	2	0	0	 1	0	 1
LÉ	30	 2	0	 21	0	 7
Là	261	 131	 1	 60	 36	 33
Lâ	3	 2	0	 1	0	0
Lä	68	0	 46	 6	 15	 1
Lè	6	 5	0	 1	0	0
Lé	826	 82	 24	 368	 286	 66
Ló	98	0	 98	0	0	0
Lô	1	 1	0	0	0	0
Lö	2	0	 1	 1	0	0
Lü	4	0	 3	 1	0	0
M 	526	 14	 122	 154	 111	 125
M"	2	 2	0	0	0	0
M'	31	 27	0	 2	 1	 1
M(	276	0	 275	0	0	 1
M)	143	0	 87	 16	 16	 24
M,	174	 9	 33	 63	 26	 43
M-	47	0	 1	 35	0	 11
M.	9433	 719	 4097	 4125	 313	 179
M/	11	0	 11	0	0	0
M1	15	0	 8	 1	 3	 3
M2	13	0	 2	0	0	 11
M3	8	0	 3	0	 2	 3
M4	3	0	 1	0	 1	 1
M5	9	0	 5	 2	 2	0
M6	3	0	0	 2	0	 1
M:	2	0	 2	0	0	0
M;	2	0	 2	0	0	0
M?	3	0	 3	0	0	0
MA	269	 60	 29	 105	 3	 72
MB	44	 4	 7	 12	 2	 19
MC	40	 1	 19	 13	0	 7
MD	134	 15	 2	 115	0	 2
ME	491	 53	 161	 150	 16	 111
MF	36	0	 15	 16	0	 5
MG	12	0	 2	 4	 3	 3
MH	18	 1	 4	 3	0	 10
MI	240	 22	 42	 111	 8	 57
MJ	14	0	 9	 1	0	 4
MK	25	0	 23	 2	0	0
ML	37	0	 6	0	0	 31
MM	309	 33	 34	 183	 37	 22
MN	27	0	 3	 4	0	 20
MO	140	 28	 8	 40	 9	 55
MP	65	 6	 7	 24	 1	 27
MQ	6	0	0	0	0	 6
MR	132	0	 19	 107	0	 6
MS	122	 32	 47	 10	0	 33
MT	44	0	 7	 5	 16	 16
MU	32	 2	 1	 12	 2	 15
MV	4	0	 3	 1	0	0
MW	14	0	 12	 2	0	0
MX	3	0	0	 1	0	 2
MY	4	 1	0	 2	0	 1
Ma	13534	 3732	 1652	 3809	 2673	 1668
Mb	3	0	 2	0	0	 1
Mc	297	0	 15	 29	 2	 251
Md	3	 1	 2	0	0	0
Me	1834	 412	 320	 607	 238	 257
Mg	116	 3	0	 47	 63	 3
Mh	11	 4	 2	0	0	 5
Mi	2920	 328	 751	 1183	 251	 407
Mk	4	 4	0	0	0	0
Ml	26	 17	0	 7	 2	0
Mm	1474	 548	 580	 316	 30	0
Mn	6	0	0	 1	0	 5
Mo	3610	 1067	 398	 1132	 435	 578
Mr	14	 2	 3	 3	0	 6
Ms	4	 2	 1	0	 1	0
Mt	2	 1	 1	0	0	0
Mu	624	 91	 88	 210	 139	 96
Mw	3	 1	0	0	0	 2
Mx	1	0	0	0	0	 1
My	46	 6	 13	 13	 3	 11
Mz	2	 2	0	0	0	0
M~	1	0	0	0	0	 1
M»	3	0	 2	0	0	 1
MÉ	19	 2	0	 3	0	 14
MÊ	1	0	0	 1	0	0
Má	6	0	 6	0	0	0
Mâ	9	 1	 1	 7	0	0
Mè	23	 11	0	 3	 8	 1
Mé	670	 194	 107	 194	 54	 121
Mê	355	 19	 26	 134	 106	 70
Mô	2	0	0	 2	0	0
Mû	1	 1	0	0	0	0
Mü	55	0	 12	 36	 1	 6
N 	762	 83	 83	 291	 27	 278
N"	4	0	0	 1	0	 3
N'	362	 170	 43	 75	 44	 30
N)	81	 2	 28	 27	 3	 21
N,	871	 7	 10	 778	 8	 68
N-	49	0	 7	 12	 5	 25
N.	344	 7	 14	 239	 15	 69
N/	3	0	 3	0	0	0
N0	3	0	0	0	0	 3
N1	6	0	 1	0	0	 5
N2	21	0	 5	0	0	 16
N3	11	0	0	0	0	 11
N5	1	0	0	 1	0	0
N:	1	0	0	 1	0	0
NA	281	 13	 71	 105	 5	 87
NB	41	 1	 21	 8	 3	 8
NC	1143	 24	 22	 163	 893	 41
ND	104	 24	 6	 38	 4	 32
NE	587	 51	 45	 376	 16	 99
NF	46	 2	 14	 10	0	 20
NG	177	 5	 102	 27	0	 43
NH	33	 1	 7	 15	0	 10
NI	733	 37	 425	 214	 24	 33
NJ	6	0	0	 4	 1	 1
NK	23	 2	0	 18	0	 3
NL	23	0	 7	 3	0	 13
NM	12	0	0	 11	0	 1
NN	91	 22	 1	 48	 2	 18
NO	119	 5	 25	 31	 19	 39
NP	140	0	 15	 83	 6	 36
NQ	8	 4	0	 2	0	 2
NR	903	 2	 26	 52	 67	 756
NS	275	 26	 17	 102	 5	 125
NT	356	 45	 2	 214	 15	 80
NU	246	 7	 127	 101	 3	 8
NV	21	 3	 1	 8	 1	 8
NX	9	0	0	 1	0	 8
NY	3	0	0	 1	0	 2
NZ	8	0	0	 1	0	 7
N[	2	0	0	0	 1	 1
Na	1259	 163	 461	 318	 132	 185
Nb	2	0	0	0	0	 2
Nc	3	0	0	0	0	 3
Nd	14	0	 3	0	0	 11
Ne	1374	 673	 157	 300	 90	 154
Ng	12	 3	 2	 6	0	 1
Ni	720	 163	 78	 238	 112	 129
Nk	3	0	0	 3	0	0
No	4661	 1311	 473	 1221	 961	 695
Nu	187	 56	 22	 72	 15	 22
Nv	1	0	 1	0	0	0
Ny	36	 20	 6	 6	 4	0
Nœ	1	0	0	0	 1	0
N°	3	0	0	0	 1	 2
Nº	1582	0	 1582	0	0	0
NÇ	4	 1	0	 2	 1	0
NÉ	16	0	0	 13	 2	 1
NÊ	9	0	0	 9	0	0
Nè	4	 1	0	 2	 1	0
